Image,Prompt,MOS
deepai_7_8_0_0.jpg,"man, playing yoga, city, anime style",1.6415765798869169
deepai_7_5_0_1.jpg,"man, having pizza, city, realistic style",4.04436456615176
deepai_3_13_1_0.jpg,"batman, wearing hat, wild, anime style",2.7878529154537786
deepai_0_4_1_0.jpg,"bird, having icecream, wild, anime style",2.3303215732235967
deepai_0_7_0_0.jpg,"bird, playing football, city, anime style",2.738010958749252
deepai_0_11_0_1.jpg,"bird, using phone, city, realistic style",4.410898610516716
deepai_9_4_0_1.jpg,"alien, having icecream, city, realistic style",2.465409829740869
deepai_6_9_0_1.jpg,"kid, using CD, city, realistic style",2.932392400679953
deepai_0_13_1_1.jpg,"bird, wearing hat, wild, realistic style",2.069925036745892
dreamStudio_5_4_1_0.jpg,"teddy bear, using CD, wild, anime style",1.875162945845952
deepai_10_11_0_0.jpg,"demon, using phone, city, anime style",2.63963160134726
dreamStudio_7_1_0_0.jpg,"woman, playing baseball, city, anime style",2.052147216991875
dreamStudio_0_0_0_0.jpg,"bird, having pizza, city, anime style",2.1342476098301777
dreamStudio_7_1_0_1.jpg,"woman, playing baseball, city, realistic style",2.481991319856012
dreamStudio_2_0_0_0.jpg,"dog, having pizza, city, anime style",2.360954013661092
deepai_3_6_0_0.jpg,"batman, playing baseball, city, anime style",2.436990901760123
deepai_3_5_1_1.jpg,"batman, having pizza, wild, realistic style",2.7205041589939376
deepai_4_1_0_1.jpg,"snoppy, driving bike, city, realistic style",3.606761336648815
deepai_7_3_0_0.jpg,"man, having hamburger, city, anime style",2.618073011476788
dreamStudio_1_1_1_1.jpg,"cat, playing baseball, wild, realistic style",1.948792108246292
deepai_10_14_0_1.jpg,"demon, wearing shirt, city, realistic style",3.523037104572054
dreamStudio_7_1_1_0.jpg,"woman, playing baseball, wild, anime style",2.27765015731272
deepai_11_14_1_1.jpg,"witch, wearing shirt, wild, realistic style",2.8554666850591888
dreamStudio_6_8_0_1.jpg,"man, wearing hat, city, realistic style",2.86553960115407
dreamStudio_5_2_1_0.jpg,"teddy bear, playing football, wild, anime style",1.6575202493838808
deepai_5_6_0_0.jpg,"teddy bear, playing baseball, city, anime style",2.25121159671943
deepai_4_4_1_1.jpg,"snoppy, having icecream, wild, realistic style",2.152638679510321
deepai_4_4_0_0.jpg,"snoppy, having icecream, city, anime style",3.0102820653648323
deepai_5_8_1_1.jpg,"teddy bear, playing yoga, wild, realistic style",1.94263226612532
dreamStudio_8_7_0_1.jpg,"alien, wearing coat, city, realistic style",2.25351471483635
dreamStudio_6_9_0_0.jpg,"man, wearing shirt, city, anime style",0.0
deepai_9_7_0_1.jpg,"alien, playing football, city, realistic style",3.321081687817445
deepai_8_7_0_1.jpg,"woman, playing football, city, realistic style",3.3825553771118733
deepai_1_5_1_0.jpg,"cat, having pizza, wild, anime style",3.0513694711290067
deepai_9_10_0_0.jpg,"alien, using laptop, city, anime style",3.5158617413961406
deepai_6_6_0_0.jpg,"kid, playing baseball, city, anime style",3.24862296727906
deepai_5_6_1_1.jpg,"teddy bear, playing baseball, wild, realistic style",2.2285790401608465
deepai_4_0_1_0.jpg,"snoppy, driving aircraft, wild, anime style",3.1749057503456144
dreamStudio_4_8_0_1.jpg,"snoppy, wearing hat, city, realistic style",0.6603543071542716
dreamStudio_7_2_0_1.jpg,"woman, playing football, city, realistic style",1.8175292280725717
dreamStudio_4_5_0_0.jpg,"snoppy, using laptop, city, anime style",1.009097082284122
dreamStudio_2_0_1_0.jpg,"dog, having pizza, wild, anime style",0.6483237116312175
deepai_3_13_1_1.jpg,"batman, wearing hat, wild, realistic style",3.440372617111778
dreamStudio_7_2_1_0.jpg,"woman, playing football, wild, anime style",2.693873638714269
dreamStudio_7_4_0_0.jpg,"woman, using CD, city, anime style",1.8210563187611244
deepai_11_7_0_0.jpg,"witch, playing football, city, anime style",2.8038145920287345
deepai_10_6_1_1.jpg,"demon, playing baseball, wild, realistic style",2.736808905293115
deepai_5_14_0_1.jpg,"teddy bear, wearing shirt, city, realistic style",2.432397862874528
dreamStudio_7_7_1_1.jpg,"woman, wearing coat, wild, realistic style",1.969011528216276
dreamStudio_0_2_0_1.jpg,"bird, playing football, city, realistic style",1.9684211563162408
deepai_2_4_1_1.jpg,"dog, having icecream, wild, realistic style",2.2089578111476307
dreamStudio_7_4_1_1.jpg,"woman, using CD, wild, realistic style",1.2171330201946875
deepai_4_4_0_1.jpg,"snoppy, having icecream, city, realistic style",2.4169909293741743
dreamStudio_6_0_1_1.jpg,"man, having pizza, wild, realistic style",1.6963994027167075
deepai_8_3_1_0.jpg,"woman, having hamburger, wild, anime style",2.8644500187356736
deepai_8_12_0_1.jpg,"woman, wearing coat, city, realistic style",3.2491094788488994
deepai_3_12_1_1.jpg,"batman, wearing coat, wild, realistic style",4.414038643233229
deepai_0_13_0_1.jpg,"bird, wearing hat, city, realistic style",3.0596697236777057
deepai_8_2_0_1.jpg,"woman, driving car, city, realistic style",2.810297384737349
deepai_5_5_0_0.jpg,"teddy bear, having pizza, city, anime style",2.7762166178153884
deepai_5_10_0_0.jpg,"teddy bear, using laptop, city, anime style",3.0850241295616243
deepai_0_3_0_0.jpg,"bird, having hamburger, city, anime style",2.856459173900621
deepai_9_11_0_1.jpg,"alien, using phone, city, realistic style",2.5896175079846957
dreamStudio_7_3_1_0.jpg,"woman, playing yoga, wild, anime style",2.164131686167601
deepai_4_8_1_0.jpg,"snoppy, playing yoga, wild, anime style",2.699969762528146
dreamStudio_1_5_0_1.jpg,"cat, using laptop, city, realistic style",0.7627666391235025
dreamStudio_2_8_1_0.jpg,"dog, wearing hat, wild, anime style",1.7649038512497477
deepai_5_2_0_0.jpg,"teddy bear, driving car, city, anime style",2.839028128598567
dreamStudio_7_5_1_0.jpg,"woman, using laptop, wild, anime style",1.4221384483178456
dreamStudio_0_4_1_1.jpg,"bird, using CD, wild, realistic style",1.454908089997902
deepai_7_12_1_1.jpg,"man, wearing coat, wild, realistic style",3.1058702896332253
deepai_11_2_0_1.jpg,"witch, driving car, city, realistic style",3.377608974439368
dreamStudio_0_3_0_1.jpg,"bird, playing yoga, city, realistic style",0.9663606481863166
deepai_11_8_0_0.jpg,"witch, playing yoga, city, anime style",2.295039509040765
deepai_10_8_1_0.jpg,"demon, playing yoga, wild, anime style",3.2489577672270515
dreamStudio_6_1_1_1.jpg,"man, playing baseball, wild, realistic style",1.9037484935533948
deepai_8_6_0_0.jpg,"woman, playing baseball, city, anime style",2.840670548071218
dreamStudio_8_9_1_1.jpg,"alien, wearing shirt, wild, realistic style",0.4414155439958131
dreamStudio_2_7_0_0.jpg,"dog, wearing coat, city, anime style",2.530612156271325
deepai_5_4_0_0.jpg,"teddy bear, having icecream, city, anime style",3.479657515539952
dreamStudio_0_0_0_1.jpg,"bird, having pizza, city, realistic style",3.116442702987173
deepai_2_10_0_0.jpg,"dog, using laptop, city, anime style",2.712378650704436
deepai_2_13_1_0.jpg,"dog, wearing hat, wild, anime style",4.313771079854292
